,Year,Total fatalities,Total seriously injured persons,Total accidents,Fatal accidents,Aircraft-miles (millions),Rates per 100 million aircraft-miles,Fatalities,Seriously injured persons,Total accidents,"Total accidents, fatal",Aircraft departures (thousands),"Rates per 100,000 aircraft departures",Fatalities,Seriously injured persons,Total accidents,"Total accidents, fatal",Flight hours (thousands),"Rates per 100,000 flight hours",Fatalities,Seriously injured persons,Total accidents,"Total accidents, fatal"
0,1960,499.0,,90.0,17.0,1130.0,,44.15929203539823,,7.9646017699115035,1.5044247787610618,,,,,,,,,,,,
1,1965,261.0,,83.0,9.0,1536.0,,16.9921875,,5.403645833333334,0.5859375,,,,,,,4691.0,,5.563845661905777,,1.7693455553186954,0.19185674696226818
2,1970,146.0,107.0,55.0,8.0,2685.0,,5.437616387337058,3.9851024208566104,2.0484171322160147,0.29795158286778395,,,,,,,6470.0,,2.2565687789799074,1.6537867078825348,0.8500772797527048,0.12364760432766615
3,1975,124.0,81.0,37.0,3.0,2478.0,,5.004035512510089,3.2687651331719128,1.4931396287328491,0.12106537530266344,,,,,,,5607.0,,2.211521312644908,1.4446227929373996,0.6598894239343678,0.05350454788657036
4,1980,1.0,19.0,19.0,1.0,2924.0,,0.03419972640218878,0.6497948016415869,0.6497948016415869,0.03419972640218878,5479.0,,0.018251505749224312,0.34677860923526194,0.34677860923526194,0.018251505749224312,7067.0,,0.014150275930380643,0.2688552426772322,0.2688552426772322,0.014150275930380643
5,1985,526.0,30.0,21.0,7.0,3631.0,,14.486367391903055,0.8262186725419994,0.5783530707793996,0.19278435692646653,6306.759,,8.340258443362114,0.4756801393552536,0.3329760975486775,0.11099203251622584,8710.0,,6.039035591274398,0.34443168771526983,0.24110218140068887,0.08036739380022963
6,1990,39.0,29.0,24.0,6.0,4947.832,,0.7882240140732344,0.5861152925159948,0.485060931737375,0.12126523293434376,8092.306,,0.4819392642838766,0.35836509395467747,0.2965780087900779,0.07414450219751947,12150.116,,0.32098458977675604,0.23868084880835705,0.19752897832415756,0.04938224458103939
7,1991,50.0,26.0,26.0,4.0,4824.824,,1.036307231103145,0.5388797601736354,0.5388797601736354,0.0829045784882516,7814.875,,0.6398054991282649,0.33269885954669776,0.33269885954669776,0.05118443993026119,11780.61,,0.42442623938828294,0.22070164448190713,0.22070164448190713,0.033954099151062636
8,1992,33.0,22.0,18.0,4.0,5039.435,,0.6548353138794328,0.4365568759196219,0.35718289847969065,0.07937397743993126,7880.707,,0.41874415582256763,0.2791627705483784,0.22840590317594597,0.05075686737243244,12359.715,,0.2669964477336249,0.17799763182241662,0.14563442603652269,0.03236320578589393
9,1993,1.0,19.0,23.0,1.0,5249.469,,0.019049545773105813,0.3619413696890105,0.43813955278143374,0.019049545773105813,8073.173,,0.012386703468388452,0.23534736589938057,0.2848941797729344,0.012386703468388452,12706.206,,0.00787016989965376,0.14953322809342143,0.18101390769203646,0.007274784317194565
10,1994,239.0,31.0,23.0,4.0,5478.118,,4.362812192070342,0.5658877738668644,0.4198522193205768,0.07301777727314379,8238.306,,2.9010818486227627,0.37629095107659266,0.2791836088632784,0.04855367110665712,13124.315,,1.8210474222845152,0.23620280372728022,0.17524724147507886,0.030477781126100677
11,1995,168.0,25.0,36.0,3.0,5654.069,,2.971311457288547,0.44215944304889093,0.6367095979904029,0.05305913316586691,8457.465,,1.9864108216823835,0.2955968484646404,0.42565946178908215,0.035471621815756846,13505.257,,1.2439600371914432,0.1851131007725362,0.26656286511245214,0.022213572092704345
12,1996,380.0,77.0,37.0,5.0,5873.108,,6.4701687760552,1.3110605151480272,0.6299901176685326,0.08513379968493684,8228.81,,4.617921667896087,0.9357367590210492,0.4496397413477769,0.06076212720915904,13746.112,,2.7644180405339345,0.5601583924239815,0.2691670197361989,0.03637392158597282
13,1997,8.0,43.0,49.0,4.0,6696.638,,0.11946293050333615,0.6421132514554319,0.7317104493329339,0.05973146525166807,10318.383,,0.07753152795355629,0.41673196275036506,0.4748806087155323,0.038765763976778146,15838.109,,0.050511080584178324,0.2714970581399585,0.30938036857809226,0.025255540292089165
14,1998,1.0,30.0,50.0,1.0,6736.543,,0.014844409068568255,0.4453322720570476,0.7422204534284127,0.014844409068568255,10979.762,,0.009107665539562696,0.2732299661868809,0.4553832769781348,0.009107665539562696,16816.555,,0.005946521151329746,0.17839563453989238,0.29732605756648733,0.005946521151329745
15,1999,12.0,67.0,51.0,2.0,7101.314,,0.16898281078684874,0.9434873602265721,0.7181769458441071,0.02816380179780812,11308.762,,0.10611241088989228,0.5924609608018986,0.4509777462820422,0.017685401814982047,17555.208,,0.06835578365121052,0.3816531253859254,0.2905120805176447,0.011392630608535086
16,2000,92.0,31.0,56.0,3.0,7524.027,,1.2227494664758647,0.41201340718208485,0.7442822839418307,0.0398722652111695,11468.229,,0.8022162794272769,0.27031200719832155,0.4883055613905164,0.026159226503063376,18299.257,,0.5027526527443164,0.16940578516384572,0.30602335384436646,0.016394108241662486
17,2001,531.0,19.0,46.0,6.0,7294.191,,7.279765501067906,0.26048125145064066,0.6306388193015511,0.08225723730020232,10954.832,,4.847176113700328,0.1734394466295786,0.41990602868213767,0.05477035156723535,17814.191,,2.9807696571794926,0.10665654140566923,0.2582211002453044,0.03368101307547449
18,2002,0.0,24.0,41.0,0.0,7192.501,,0.0,0.3336808712296321,0.5700381550172882,0.0,10508.473,,0.0,0.2283871310322632,0.390161348846783,0.0,17290.198,,0.0,0.1388069702845508,0.23712857423610764,0.0
19,2003,22.0,31.0,54.0,2.0,7280.383,,0.30218190444101634,0.4258017744396139,0.7417192199915855,0.027471082221910578,10433.164,,0.21086604217090807,0.2971294230590068,0.5175802853285926,0.01916964019735528,17467.7,,0.12594674742524772,0.17747041682648543,0.3091420164074262,0.011449704311386158
20,2004,14.0,20.0,30.0,2.0,7930.159,,0.17654122697918165,0.25220175282740237,0.3783026292411035,0.025220175282740235,11023.128,,0.12700569203224346,0.18143670290320496,0.2721550543548074,0.018143670290320494,18882.503,,0.07414271296554276,0.1059181613793468,0.1588772420690202,0.010591816137934678
21,2005,22.0,14.0,40.0,3.0,8165.643,,0.26942152626559845,0.17145006216901718,0.48985732048290626,0.03673929903621797,11130.407,,0.19765674336976177,0.12578156396257567,0.3593758970359305,0.026953192277694788,19390.029,,0.11346037698035419,0.07220205807840721,0.2062915945097349,0.015471869588230117
22,2006,50.0,9.0,33.0,2.0,8139.357,,0.6142991393546198,0.11057384508383157,0.4054374319740491,0.02457196557418479,10820.915,,0.4620681337946005,0.0831722640830281,0.3049649683044363,0.01848272535178402,19263.209,,0.25956215291024465,0.046721187523844035,0.17131102092076145,0.010382486116409786
23,2007,1.0,16.0,28.0,1.0,8315.905,,0.012025149397449825,0.1924023903591972,0.3367041831285951,0.012025149397449825,10928.432,,0.009150443540299284,0.14640709664478854,0.25621241912838,0.009150443540299284,19637.322,,0.005092344057911766,0.08147750492658826,0.14258563362152946,0.005092344057911766
24,2008,3.0,20.0,27.0,2.0,8068.288,,0.03718260924746365,0.24788406164975768,0.33464348322717286,0.024788406164975768,10448.133,,0.02871326389126172,0.19142175927507815,0.2584193750213555,0.019142175927507814,19126.766,,0.015684826175005225,0.10456550783336817,0.141163435575047,0.010456550783336818
25,2009,52.0,26.0,30.0,2.0,7465.598,,0.6965282620360753,0.34826413101803766,0.40184322809773576,0.02678954853984905,9705.056,,0.5358031937167596,0.2679015968583798,0.30911722714428436,0.02060781514295229,17626.832,,0.2950047972318565,0.14750239861592826,0.1701950753260711,0.011346338355071406
26,2010,2.0,17.0,30.0,1.0,7598.128,,0.026322273065154996,0.22373932105381747,0.39483409597732494,0.013161136532577498,9633.846,,0.020760140861707774,0.1764611973245161,0.31140211292561665,0.010380070430853887,17750.986,,0.011266979761011585,0.09576932796859848,0.16900469641517377,0.005633489880505793
27,2011,0.0,21.0,33.0,0.0,7713.557,,0.0,0.27224793956925447,0.42781819075168565,0.0,9583.947,,0.0,0.21911640371133104,0.34432577726066305,0.0,17962.965,,0.0,0.11690720323732746,0.18371131937294316,0.0
28,2012,0.0,18.0,27.0,0.0,7660.072,,0.0,0.23498473643589773,0.35247710465384663,0.0,9390.678,,0.0,0.19167945062113725,0.2875191759317059,0.0,17722.236,,0.0,0.10156731915769544,0.15235097873654316,0.0
29,2013,9.0,8.0,22.0,2.0,7672.511158,,0.11730188219558142,0.1042683397294057,0.2867379342558657,0.026067084932351426,9401.896,,0.09572537283969106,0.0850892203019476,0.2339953558303559,0.0212723050754869,17779.641,,0.05061969473961819,0.04499528421299395,0.12373703158573336,0.011248821053248488
30,2014,0.0,14.0,31.0,0.0,7690.949524,,0.0,0.18203213993684766,0.40307116700301987,0.0,9178.736,,0.0,0.1525264480860981,0.3377371350477887,0.0,17742.826,,0.0,0.07890513044539803,0.17471850312909565,0.0
31,2015,0.0,23.0,28.0,0.0,7822.203105,,0.0,0.29403480951930616,0.3579554202843727,0.0,9107.171,,0.0,0.25254823918426483,0.3074500303112789,0.0,17925.78,,0.0,0.12830682960518316,0.1561996186497882,0.0
32,2016,0.0,18.0,30.0,0.0,8016.961206,,0.0,0.22452397532532103,0.3742066255422017,0.0,9242.998,,0.0,0.19474200903213437,0.3245700150535573,0.0,18294.057,,0.0,0.09839260914077178,0.1639876819012863,0.0
33,2017,0.0,19.0,33.0,0.0,8154.971756,,0.0,0.23298670514733294,0.40466111946642036,0.0,9274.238,,0.0,0.20486858327336435,0.35582438147479073,0.0,18581.388,,0.0,0.10225285646045387,0.17759706648394621,0.0
34,2018,1.0,26.0,31.0,1.0,8473.725686,,0.011801184473698103,0.3068307963161506,0.3658367186846412,0.011801184473698103,9526.103,,0.010497472051267975,0.2729342733329673,0.3254216335893072,0.010497472051267975,19288.296,,0.005184491154635951,0.13479677002053472,0.1607192257937145,0.005184491154635951
35,2019,4.0,18.0,40.0,2.0,8687.564745,,0.04604282232603954,0.20719270046717791,0.4604282232603954,0.02302141116301977,9751.448,,0.041019549096708505,0.18458797093518828,0.4101954909670851,0.020509774548354252,19786.547,,0.02021575568491056,0.09097090058209753,0.2021575568491056,0.01010787784245528
