,off_passing_Team,off_passing_Att,off_passing_Cmp,off_passing_Cmp %,off_passing_Yds/Att,off_passing_Pass Yds,off_passing_TD,off_passing_INT,off_passing_Rate,off_passing_1st,off_passing_1st%,off_passing_20+,off_passing_40+,off_passing_Lng,off_passing_Sck,off_passing_SckY,off_rushing_Team,off_rushing_Att,off_rushing_Rush Yds,off_rushing_YPC,off_rushing_TD,off_rushing_20+,off_rushing_40+,off_rushing_Lng,off_rushing_Rush 1st,off_rushing_Rush 1st%,off_rushing_Rush FUM,off_receiving_Team,off_receiving_Rec,off_receiving_Yds,off_receiving_Yds/Rec,off_receiving_TD,off_receiving_20+,off_receiving_40+,off_receiving_Lng,off_receiving_Rec 1st,off_receiving_Rec 1st%,off_receiving_Rec FUM,off_scoring_Team,off_scoring_Rsh TD,off_scoring_Rec TD,off_scoring_Tot TD,off_scoring_2-PT,off_downs_Team,off_downs_3rd Att,off_downs_3rd Md,off_downs_4th Att,off_downs_4th Md,off_downs_Rec 1st,off_downs_Rec 1st%,off_downs_Rush 1st,off_downs_Rush 1st%,off_downs_Scrm Plys,def_passing_Team,def_passing_Att,def_passing_Cmp,def_passing_Cmp %,def_passing_Yds/Att,def_passing_Yds,def_passing_TD,def_passing_INT,def_passing_Rate,def_passing_1st,def_passing_1st%,def_passing_20+,def_passing_40+,def_passing_Lng,def_passing_Sck,def_rushing_Team,def_rushing_Att,def_rushing_Rush Yds,def_rushing_YPC,def_rushing_TD,def_rushing_20+,def_rushing_40+,def_rushing_Lng,def_rushing_Rush 1st,def_rushing_Rush 1st%,def_rushing_Rush FUM,def_receiving_Team,def_receiving_Rec,def_receiving_Yds,def_receiving_Yds/Rec,def_receiving_TD,def_receiving_20+,def_receiving_40+,def_receiving_Lng,def_receiving_Rec 1st,def_receiving_Rec 1st%,def_receiving_Rec FUM,def_receiving_PDef,def_scoring_Team,def_scoring_FR TD,def_scoring_SFTY,def_scoring_INT TD,def_downs_Team,def_downs_3rd Att,def_downs_3rd Md,def_downs_4th Att,def_downs_4th Md,def_downs_Rec 1st,def_downs_Rec 1st%,def_downs_Rush 1st,def_downs_Rush 1st%,def_downs_Scrm Plys,def_tackles_Team,def_tackles_Sck,def_tackles_Comb,def_tackles_Asst,def_tackles_Solo,def_fumbles_Team,def_fumbles_FF,def_fumbles_FR,def_fumbles_FR TD,def_fumbles_Rec FUM,def_fumbles_Rush FUM,def_interceptions_Team,def_interceptions_INT,def_interceptions_INT TD,def_interceptions_INT Yds,def_interceptions_Lng,st_field-goals_Team,st_field-goals_FGM,st_field-goals_Att,st_field-goals_FG %,st_field-goals_1-19 > A-M,st_field-goals_20-29 > A-M,st_field-goals_30-39 > A-M,st_field-goals_40-49 > A-M,st_field-goals_50+ > A-M,st_field-goals_Lng,st_field-goals_FG Blk,st_scoring_Team,st_scoring_FGM,st_scoring_FG %,st_scoring_XPM,st_scoring_XP Pct,st_scoring_KRet TD,st_scoring_PRet T,st_kickoffs_Team,st_kickoffs_KO,st_kickoffs_Yds,st_kickoffs_TB,st_kickoffs_TB %,st_kickoffs_Ret,st_kickoffs_Ret Avg,st_kickoffs_OSK,st_kickoffs_OSK Rec,st_kickoffs_OOB,st_kickoffs_TD,st_punting_Team,st_punting_Net Avg,st_punting_Net Yds,st_punting_Punts,st_punting_Avg,st_punting_Lng,st_punting_Yds,st_punting_IN 20,st_punting_OOB,st_punting_Dn,st_punting_TB,st_punting_FC,st_punting_Ret,st_punting_RetY,st_punting_TD,st_punting_P Blk,st_punt-returns_Team,st_punt-returns_Avg,st_punt-returns_Ret,st_punt-returns_Yds,st_punt-returns_PRet T,st_punt-returns_20+,st_punt-returns_40+,st_punt-returns_Lng,st_punt-returns_FC,st_punt-returns_FUM,st_punt-returns_P Blk,Year
0,Redskins  Redskins,342,203,59.4,6.9,2357,23,10,90.5,0,0.0,0,0,0,29,249,Redskins  Redskins,444,2021,4.6,11,0,0,0,0,0.0,0,Redskins  Redskins,203,2357,11.6,23,0,0,0,0,0.0,0,Redskins  Redskins,11,23,34,0,Redskins  Redskins,0,0,0,0,0,0.0,0,0.0,815,Redskins  Redskins,374,205,54.8,6.5,2265,14,15,70.6,0,0.0,0,0,0,24,Redskins  Redskins,468,2068,4.4,19,0,0,0,0,0.0,0,Redskins  Redskins,205,2434,11.9,14,0,0,0,0,0.0,0,0,Redskins  Redskins,0,0,0,Redskins  Redskins,0,0,0,0,0,0.0,0,0.0,866,Redskins  Redskins,0,0,0,0,Redskins  Redskins,0,0,0,0,0,Redskins  Redskins,15,0,240,0,Redskins  Redskins,20,27,74.1,,,,,,0,0,Redskins  Redskins,20,74.1,33,97.1,0,0,Redskins  Redskins,0,0,0,0.0,0,0.0,0,0,0,0,Redskins  Redskins,0.0,0,61,40.9,0,2493,0,0,0,0,0,0,0,0,0,Redskins  Redskins,1.7,27,45,0,0,0,0,0,0,0,1970
1,49ers  49ers,383,226,59.0,7.8,2990,25,10,94.7,0,0.0,0,0,0,8,67,49ers  49ers,471,1580,3.4,13,0,0,0,0,0.0,0,49ers  49ers,226,2990,13.2,25,0,0,0,0,0.0,0,49ers  49ers,13,25,41,0,49ers  49ers,0,0,0,0,0,0.0,0,0.0,862,49ers  49ers,384,185,48.2,6.3,2173,19,22,61.3,0,0.0,0,0,0,30,49ers  49ers,425,1799,4.2,12,0,0,0,0,0.0,0,49ers  49ers,185,2434,13.2,19,0,0,0,0,0.0,0,0,49ers  49ers,0,2,2,49ers  49ers,0,0,0,0,0,0.0,0,0.0,839,49ers  49ers,0,0,0,0,49ers  49ers,0,0,0,0,0,49ers  49ers,22,2,308,0,49ers  49ers,21,31,67.7,,,,,,0,0,49ers  49ers,21,67.7,39,95.1,0,0,49ers  49ers,0,0,0,0.0,0,0.0,0,0,0,0,49ers  49ers,0.0,0,75,38.4,0,2877,0,0,0,0,0,0,0,0,0,49ers  49ers,11.5,48,550,0,0,0,0,0,0,0,1970
2,Chargers  Chargers,387,192,49.6,7.6,2936,24,19,75.3,0,0.0,0,0,0,57,433,Chargers  Chargers,395,1450,3.7,9,0,0,0,0,0.0,0,Chargers  Chargers,192,2936,15.3,24,0,0,0,0,0.0,0,Chargers  Chargers,9,24,35,0,Chargers  Chargers,0,0,0,0,0,0.0,0,0.0,839,Chargers  Chargers,365,207,56.7,6.6,2215,13,9,78.6,0,0.0,0,0,0,27,Chargers  Chargers,480,1967,4.1,15,0,0,0,0,0.0,0,Chargers  Chargers,207,2422,11.7,13,0,0,0,0,0.0,0,0,Chargers  Chargers,0,1,0,Chargers  Chargers,0,0,0,0,0,0.0,0,0.0,872,Chargers  Chargers,0,0,0,0,Chargers  Chargers,0,0,0,0,0,Chargers  Chargers,9,0,90,0,Chargers  Chargers,12,19,63.2,,,,,,0,0,Chargers  Chargers,12,63.2,34,97.1,0,0,Chargers  Chargers,0,0,0,0.0,0,0.0,0,0,0,0,Chargers  Chargers,0.0,0,74,42.8,0,3165,0,0,0,0,0,0,0,0,0,Chargers  Chargers,5.6,31,173,0,0,0,0,0,0,0,1970
3,Steelers  Steelers,384,150,39.1,6.0,2312,12,32,35.4,0,0.0,0,0,0,28,275,Steelers  Steelers,432,1715,4.0,13,0,0,0,0,0.0,0,Steelers  Steelers,150,2312,15.4,12,0,0,0,0,0.0,0,Steelers  Steelers,13,12,26,0,Steelers  Steelers,0,0,0,0,0,0.0,0,0.0,844,Steelers  Steelers,393,191,48.6,6.5,2317,21,23,63.1,0,0.0,0,0,0,26,Steelers  Steelers,487,1679,3.4,8,0,0,0,0,0.0,0,Steelers  Steelers,191,2555,13.4,21,0,0,0,0,0.0,0,0,Steelers  Steelers,0,0,1,Steelers  Steelers,0,0,0,0,0,0.0,0,0.0,906,Steelers  Steelers,0,0,0,0,Steelers  Steelers,0,0,0,0,0,Steelers  Steelers,23,1,266,0,Steelers  Steelers,10,28,35.7,,,,,,0,0,Steelers  Steelers,10,35.7,24,96.0,0,0,Steelers  Steelers,0,0,0,0.0,0,0.0,0,0,0,0,Steelers  Steelers,0.0,0,78,44.2,0,3445,0,0,0,0,0,0,0,0,0,Steelers  Steelers,5.5,51,281,0,0,0,0,0,0,0,1970
4,Cardinals  Cardinals,390,178,45.6,6.9,2689,16,19,62.2,0,0.0,0,0,0,26,216,Cardinals  Cardinals,429,1998,4.7,18,0,0,0,0,0.0,0,Cardinals  Cardinals,178,2689,15.1,16,0,0,0,0,0.0,0,Cardinals  Cardinals,18,16,38,0,Cardinals  Cardinals,0,0,0,0,0,0.0,0,0.0,845,Cardinals  Cardinals,382,183,47.9,6.3,2107,16,21,59.4,0,0.0,0,0,0,40,Cardinals  Cardinals,472,1762,3.7,10,0,0,0,0,0.0,0,Cardinals  Cardinals,183,2416,13.2,16,0,0,0,0,0.0,0,0,Cardinals  Cardinals,0,0,2,Cardinals  Cardinals,0,0,0,0,0,0.0,0,0.0,894,Cardinals  Cardinals,0,0,0,0,Cardinals  Cardinals,0,0,0,0,0,Cardinals  Cardinals,21,2,255,0,Cardinals  Cardinals,20,32,62.5,,,,,,0,0,Cardinals  Cardinals,20,62.5,37,97.4,0,1,Cardinals  Cardinals,0,0,0,0.0,0,0.0,0,0,0,0,Cardinals  Cardinals,0.0,0,65,40.9,0,2659,0,0,0,0,0,0,0,0,0,Cardinals  Cardinals,7.7,41,315,1,0,0,0,0,0,0,1970
5,Eagles  Eagles,410,218,53.2,6.5,2651,16,23,63.0,0,0.0,0,0,0,23,200,Eagles  Eagles,450,1539,3.4,11,0,0,0,0,0.0,0,Eagles  Eagles,218,2651,12.2,16,0,0,0,0,0.0,0,Eagles  Eagles,11,16,29,0,Eagles  Eagles,0,0,0,0,0,0.0,0,0.0,883,Eagles  Eagles,313,161,51.4,7.0,1889,16,10,77.6,0,0.0,0,0,0,34,Eagles  Eagles,457,2064,4.5,16,0,0,0,0,0.0,0,Eagles  Eagles,161,2176,13.5,16,0,0,0,0,0.0,0,0,Eagles  Eagles,0,0,0,Eagles  Eagles,0,0,0,0,0,0.0,0,0.0,804,Eagles  Eagles,0,0,0,0,Eagles  Eagles,0,0,0,0,0,Eagles  Eagles,10,0,102,0,Eagles  Eagles,14,25,56.0,,,,,,0,0,Eagles  Eagles,14,56.0,25,89.3,0,0,Eagles  Eagles,0,0,0,0.0,0,0.0,0,0,0,0,Eagles  Eagles,0.0,0,71,36.6,0,2596,0,0,0,0,0,0,0,0,0,Eagles  Eagles,3.1,32,100,0,0,0,0,0,0,0,1970
6,Jets  Jets,386,193,50.0,6.7,2592,14,22,60.1,0,0.0,0,0,0,35,285,Jets  Jets,463,1653,3.6,11,0,0,0,0,0.0,0,Jets  Jets,193,2592,13.4,14,0,0,0,0,0.0,0,Jets  Jets,11,14,28,0,Jets  Jets,0,0,0,0,0,0.0,0,0.0,884,Jets  Jets,383,165,43.1,7.0,2372,20,23,59.5,0,0.0,0,0,0,35,Jets  Jets,408,1283,3.1,7,0,0,0,0,0.0,0,Jets  Jets,165,2680,16.2,20,0,0,0,0,0.0,0,0,Jets  Jets,0,1,2,Jets  Jets,0,0,0,0,0,0.0,0,0.0,826,Jets  Jets,0,0,0,0,Jets  Jets,0,0,0,0,0,Jets  Jets,23,2,281,0,Jets  Jets,19,35,54.3,,,,,,0,0,Jets  Jets,19,54.3,28,100.0,0,0,Jets  Jets,0,0,0,0.0,0,0.0,0,0,0,0,Jets  Jets,0.0,0,73,40.1,0,2925,0,0,0,0,0,0,0,0,0,Jets  Jets,5.8,26,150,0,0,0,0,0,0,0,1970
7,Giants  Giants,403,230,57.1,7.2,2892,19,12,82.9,0,0.0,0,0,0,37,258,Giants  Giants,465,1799,3.9,11,0,0,0,0,0.0,0,Giants  Giants,230,2892,12.6,19,0,0,0,0,0.0,0,Giants  Giants,11,19,32,0,Giants  Giants,0,0,0,0,0,0.0,0,0.0,905,Giants  Giants,364,186,51.1,7.3,2371,19,17,72.9,0,0.0,0,0,0,35,Giants  Giants,419,1692,4.0,11,0,0,0,0,0.0,0,Giants  Giants,186,2650,14.2,19,0,0,0,0,0.0,0,0,Giants  Giants,0,1,0,Giants  Giants,0,0,0,0,0,0.0,0,0.0,818,Giants  Giants,0,0,0,0,Giants  Giants,0,0,0,0,0,Giants  Giants,17,0,223,0,Giants  Giants,25,41,61.0,,,,,,0,0,Giants  Giants,25,61.0,32,100.0,0,1,Giants  Giants,0,0,0,0.0,0,0.0,0,0,0,0,Giants  Giants,0.0,0,54,38.3,0,2069,0,0,0,0,0,0,0,0,0,Giants  Giants,6.7,29,193,1,0,0,0,0,0,0,1970
8,Saints  Saints,415,213,51.3,6.5,2690,11,22,58.6,0,0.0,0,0,0,28,232,Saints  Saints,371,1215,3.3,4,0,0,0,0,0.0,0,Saints  Saints,213,2690,12.6,11,0,0,0,0,0.0,0,Saints  Saints,4,11,17,0,Saints  Saints,0,0,0,0,0,0.0,0,0.0,814,Saints  Saints,430,238,55.3,7.4,3061,19,22,72.6,0,0.0,0,0,0,17,Saints  Saints,469,1891,4.0,15,0,0,0,0,0.0,0,Saints  Saints,238,3197,13.4,19,0,0,0,0,0.0,0,0,Saints  Saints,0,0,0,Saints  Saints,0,0,0,0,0,0.0,0,0.0,916,Saints  Saints,0,0,0,0,Saints  Saints,0,0,0,0,0,Saints  Saints,22,0,260,0,Saints  Saints,18,34,52.9,,,,,,0,0,Saints  Saints,18,52.9,16,94.1,0,0,Saints  Saints,0,0,0,0.0,0,0.0,0,0,0,0,Saints  Saints,0.0,0,77,42.5,0,3269,0,0,0,0,0,0,0,0,0,Saints  Saints,7.4,29,214,0,0,0,0,0,0,0,1970
9,Patriots  Patriots,392,176,44.9,5.0,1975,7,28,36.7,0,0.0,0,0,0,42,389,Patriots  Patriots,334,1040,3.1,11,0,0,0,0,0.0,0,Patriots  Patriots,176,1975,11.2,7,0,0,0,0,0.0,0,Patriots  Patriots,11,7,18,0,Patriots  Patriots,0,0,0,0,0,0.0,0,0.0,768,Patriots  Patriots,334,177,53.0,7.3,2187,19,8,85.5,0,0.0,0,0,0,28,Patriots  Patriots,503,2074,4.1,20,0,0,0,0,0.0,0,Patriots  Patriots,177,2430,13.7,19,0,0,0,0,0.0,0,0,Patriots  Patriots,0,0,0,Patriots  Patriots,0,0,0,0,0,0.0,0,0.0,865,Patriots  Patriots,0,0,0,0,Patriots  Patriots,0,0,0,0,0,Patriots  Patriots,8,0,184,0,Patriots  Patriots,8,22,36.4,,,,,,0,0,Patriots  Patriots,8,36.4,17,94.4,0,0,Patriots  Patriots,0,0,0,0.0,0,0.0,0,0,0,0,Patriots  Patriots,0.0,0,86,39.1,0,3364,0,0,0,0,0,0,0,0,0,Patriots  Patriots,9.5,32,305,0,0,0,0,0,0,0,1970
